OTUID,S6,S10,S11,S15,S22,S23,S25,S26,S28
5c7cfc0284c9c10ab87d3e3df8b43378,0,0,0,80,0,0,0,0,0
4ae4af5f7066ae87a3c2455a08427c51,0,0,0,0,0,10,0,0,0
672e33f9e24fd269486a1094f46cfada,201,0,0,0,0,0,0,0,0
16629f1d7d98682cf771af5d44cc06dc,56,0,0,0,0,0,0,0,0
f50f612a26d065f418d87f0686880528,0,0,0,67,0,0,0,0,0
fe5c8f4c79c5a7fcbd2b926fa162ff2d,0,0,84,0,0,0,0,0,0
5c128ec4ff2a7dcfcb3914c6211d8e3a,0,0,0,193,0,0,0,0,0
f67de1aea0708d2fb7b5af189d6c649a,0,0,0,94,0,0,0,0,0
a45f07822b87fe91430f7e929c458e1e,0,0,0,75,0,0,0,0,0
9ea34c7082c5e91b32991b155846a0c2,0,0,0,64,0,0,0,0,0
3ef390019cc5498f5aaf37e2da76ee6a,0,0,0,161,0,0,0,0,0
a6b05d0cb2d0a6ec757880ee691058db,0,0,0,0,0,0,278,0,0
e66e195fd5c2a188d290937b1341766c,0,0,114,0,0,0,0,0,0
722bca93ac718b822850db280745a499,0,70,0,0,0,0,0,0,0
45e41d800317d5db3479ccdbccdbcd48,0,0,0,234,0,0,0,0,0
0a27ce620f6f96aa909433fbc8bf5182,0,0,33,0,0,0,0,0,0
2f20484c327dddaf8c82aeb07cc67777,0,0,0,0,0,0,0,97,0
f73ae4c2fcb70d8957c283c5c69fbbdc,0,0,0,174,0,0,0,0,0
508ce33395739baf4d766a5f0cd5bf0e,0,0,0,145,0,0,0,0,0
a313da5e1016f0e0fbd7fff5939a4b75,0,0,0,151,0,0,0,0,0
b44edbfc4ac0398cd188c46457e7570d,0,0,0,0,0,0,147,54,0
ca662c69510e064646c7757d289b0cc5,0,0,62,0,0,0,0,0,0
3efa885b4b9fb9617004e8e75b0d020c,0,0,0,145,0,0,0,0,0
3abf5f7f6a79e7db77f7d8102594dea9,0,0,0,76,0,0,0,0,0
17c16acf71ae319d7c1596695bf1af4b,0,0,27,0,0,0,51,0,0
c48586143dcb3edcb8d74ba570707302,0,0,0,0,0,0,167,0,0
8684c4f1cce0d78e798d2a8bb76a8636,0,0,0,0,0,8,0,0,0
69ee17d03028b162976359eeb9071044,0,0,0,0,0,0,40,0,0
dd791e7e828209237875563abd57570e,0,0,0,75,18,0,135,0,0
b6f3dce1c351e1ba95d6c09aa4cb58ea,0,0,0,0,0,0,0,182,0
49131d360edd71cc604c20589b19c487,0,0,0,0,0,22,0,0,0
bfd27dda9c0e86650fadaba7a6447a1d,0,0,0,0,0,0,533,0,0
dc6097df31b5fed947a604a1a56177a7,0,0,0,58,36,0,0,0,85
bec6d88d6f9dd749b4b67eae392ceeca,115,0,0,0,0,0,0,0,0
33d6f263e1c98b0976a01a4db2c5708f,146,0,0,0,0,0,0,0,0
6e1714f833b0e2a2ebe49ac18c0b7c20,0,0,0,0,0,59,0,0,0
3542e7b35fafefa1b647b5eee481a18a,380,0,0,0,0,0,0,0,0
b4258dc87815e6fd80de528b8e951129,0,0,0,121,0,0,0,0,0
db405b03b7524e677e3696d7d6c0c9e9,0,0,0,0,0,0,117,69,0
